,Responsiveness,participation and partnership,accountability
0,1,-2,1
1,0,-1,-1
2,-0.5,0,1
7,0,0,-1
11,0,0,-0.5
12,0.75,0,1
15,0,0,1.5
17,1.5,1,1
18,1,0,1
19,1.75,0,1.5
22,0.75,0,0.5
23,0,0,0.5
24,1.25,0,2
25,0.75,1,1
27,0.5,0,0
29,-1,-1,-1.5
30,0.75,0,1
31,0.5,-2,0
33,1,1,1
34,1,1,-1
35,1.25,1,1
36,1.75,0,1.5
38,1,0,1
40,1.25,2,1
41,1.25,-2,1
42,0.5,-2,0.5
43,-0.5,0,0
44,0.25,0,0.5
45,-1.5,-2,-1.5
46,1,-2,0.5
47,0.75,-2,0.5
50,0,-2,0
51,1,1,1
54,0.5,1,1
57,-0.75,1,-1
58,0.25,0,0
59,0.25,0,1
60,1,1,1
62,0.5,-1,0.5
63,0.5,0,0
64,-1,-2,-0.5
65,1,1,1
66,0,0,0
67,0.5,-1,1
68,-0.75,-2,0.5
69,0.5,0,1
70,1,0,1
71,1.5,-2,1
73,-1,-2,-1
74,0.75,-1,1
75,-0.5,-2,0
76,1,1,0
78,0.5,-2,1
79,-0.25,0,0
80,-0.5,-2,-1
81,1,1,1
82,1,-2,1
83,1,0,1
84,0.5,1,1
85,1,1,1
86,1,1,1
87,0,-2,0
88,1.25,-2,1
89,0.75,0,1
91,1,0,1
92,0.5,-2,0.5
93,0.75,-2,1
94,1.25,0,1
95,1.25,-2,1
96,0.75,-2,1
97,0.75,-2,1
98,1.25,1,1
99,1,-2,1
100,-1,-2,-0.5
101,0,-2,-0.5
102,0.75,-2,1
103,1.25,0,1
104,1.75,0,2
105,1,-2,1
106,1,1,1
107,0.5,-2,0
108,0.25,0,0
109,0.5,-1,0
110,1,1,0
111,0.25,1,0
112,1.25,-1,1
113,0.5,1,-1
114,2,1,1.5
115,0.75,-1,0
116,0,1,0
117,1.5,1,0
119,1,1,1
120,1.75,1,1
121,2,1,1
122,1.25,2,1
123,1.5,1,0.5
124,1.75,1,1.5
125,0.5,1,-1
126,1.25,1,0.5
127,1.25,1,0
128,1,1,1
129,2,1,1.5
131,1.25,1,-0.5
132,1.25,1,1
133,1.75,0,0
134,1.5,1,1
135,1.5,1,0
136,1.75,1,0.5
137,1.5,-1,0.5
138,1.5,1,0.5
139,1.5,1,0.5
140,2,1,0.5
141,1.25,0,1
143,1.75,0,0.5
144,1.25,1,1
145,1.5,1,0.5
147,1.25,1,-1
148,1.5,1,1
149,1.75,1,0.5
151,0.5,-1,-1.5
152,0.25,-1,-1
153,0.5,1,0
154,0.75,0,0.5
155,1.25,1,0
156,0.75,1,-1.5
157,1.25,1,0
158,1.5,-1,0
159,1,0,0
160,1,1,0
161,0.5,-1,0
162,1,1,1
163,1,0,0.5
164,0.5,1,0
165,0.5,1,0
166,1.25,1,0
167,1.25,1,1
168,1,1,1
169,0.5,1,1
170,1,1,0
172,0.5,-1,0
173,1,1,0
174,1.25,2,1
175,1,0,1
176,0.5,1,0
177,1,0,1
178,1,1,1
179,1,1,0
180,1.25,-1,1
181,1,-1,0
182,0,1,0
183,1,1,1
185,2,1,1.5
186,1,1,1
187,1.25,1,1
188,1,1,1
189,1,1,1
190,1.25,-1,1
191,0.5,1,0
192,1.5,-1,1
193,0.75,-1,1
194,1.25,1,1
195,0.5,1,1
197,1,1,0
198,1.5,1,1
199,1.5,2,1
200,1,-1,1
201,0.5,1,0
202,0.5,1,0
204,1.5,0,1
205,1,1,1
206,1,0,0
207,1.25,0,0
208,1.25,-1,1
209,1,1,-1
210,0.25,1,1
211,0.5,1,0.5
212,1,-1,0
213,1.5,-1,1
214,1.5,1,1
215,1.5,1,1
216,1.75,1,1
217,1,0,0
218,1,1,1
219,-0.5,-1,-1
220,1.25,-1,0.5
221,1.25,-1,1
222,1.25,-1,1
223,1,-1,1
225,1,-1,1
226,1,-1,1.5
227,1,-2,1
228,1.75,-2,1
229,1,-1,0
230,0.5,-1,0
231,0.5,-2,1.5
232,1,-1,1
233,0.5,-1,0.5
234,1,-2,-1
235,1,-1,1
236,0.5,-2,1
237,1,1,1
238,1.25,-1,0
239,1.5,1,1
240,1.25,-1,1.5
241,1.5,-1,0
242,1,-1,1
243,1,-2,1
244,1.25,-2,0
245,1.5,-1,0
246,1.25,-1,1.5
247,1.5,-2,1.5
248,1,-1,0
249,1,-1,1
250,1.5,1,1.5
251,1,-1,1
252,1,-1,1.5
253,1,1,1
254,1.75,1,1
255,1,-1,0
256,1,-1,1
258,1.5,-1,1
259,1.25,1,0.5
260,1.25,-1,1
261,1.5,1,1.5
262,0.75,-1,1.5
263,0.5,-1,1
264,0.5,-1,1
265,1.25,-1,0
266,1,-1,1.5
267,1.5,-1,1
268,1.5,-1,0
269,1,-1,1
270,0,-1,0
271,1,1,1
272,1,-1,1
273,1.25,-1,1
274,0,-1,0
275,1,-1,1
276,1,-1,1
277,1,-1,1
278,1.25,-1,0
279,1.5,-1,1
280,1,-1,1
281,1.5,-1,1
282,1,-1,1
283,0.5,-1,1
284,1,-1,0
285,0.5,-2,0
286,0.5,-1,1
287,0.5,-1,1
288,0.5,-2,1
289,0.5,-2,1
290,0.5,-2,1
291,0.5,-1,1
292,1,-2,1
293,1,-2,1
294,0.5,-1,1
295,1,-1,1
296,1,-1,1
298,0.5,-1,-1
299,1,1,0
300,1,-1,1
301,1.75,1,1
302,0,0,-1
303,1,-1,0.5
304,1,1,-1
305,0.5,0,0
306,0.5,-1,-1
307,1,-1,0
308,0.5,-1,0.5
309,0.5,-1,0
310,0.5,-2,1
311,-0.5,-1,-1
312,-1,-1,1
313,-1,-2,-1
314,0.5,-1,0
315,0.5,-1,1
316,0.75,0,0
317,0.5,-1,0
318,0.5,-1,-1
319,1,-1,1
320,1,-1,1
321,1,-1,1
323,0.75,-1,0.5
324,1,-1,0
325,1,-1,0.5
326,1,0,0.5
328,1,-1,0.5
329,1,-1,0
330,1,-1,0.5
332,1,-1,0.5
333,1,-1,1
334,1,-1,1
336,1,1,1
337,1.25,-1,0.5
338,1.25,-1,1
339,1.75,1,1
340,1.25,1,1
341,1.5,1,1
342,1.25,1,1
343,1.75,-1,2
344,1.5,1,2
345,1.75,1,1.5
346,1.5,2,1.5
347,1.5,1,1.5
348,1.5,1,2
349,1.5,2,1
350,1,-1,1.5
351,1.25,0,0
352,0.75,0,0
353,0.5,1,0
354,1,-2,0.5
355,1.5,1,1
356,0.75,1,1
357,0.5,2,1
358,1.25,2,1
359,1,1,1
360,1.25,-1,1
361,0.75,-1,-1
362,0.5,-1,0
363,0.25,-1,0
364,0.5,-1,0
365,0.5,-1,-1.5
366,1.25,1,-1
367,0.75,1,0
368,0.5,-1,-1
369,0.5,1,1
370,1,0,-1
371,0.75,1,-1.5
372,0.75,2,-1
373,0.5,-1,-0.5
374,0,-1,-1
375,-0.25,1,0
376,0.75,2,-1
377,0.25,1,0
378,0,0,0
379,0.25,2,-1.5
380,0.75,1,0
381,1.25,-1,-1
382,1.25,-2,0.5
383,0,0,-0.5
384,0.75,1,0
385,1,-1,0
386,1,1,1
387,0.5,-1,1
388,-1,-1,-1
389,1,0,-1
390,0.5,2,0
391,0.25,1,-1
392,1.25,-1,-1
393,0.75,1,0
394,0.25,1,0
395,1,1,0
396,0.75,1,0
397,1.5,-2,1
398,1.25,2,0
399,0.75,0,1
400,-1,1,0
401,-1.25,1,-2
402,1.25,-1,1
403,-0.5,1,-1
404,-0.5,-1,-1
405,1,1,1
406,0,-1,0
407,0,1,0
408,1,1,-1
409,1,0,1
410,0,1,0
411,0.25,1,-1
412,1.25,1,1
413,0.5,1,1
414,1.25,-1,1
415,1.5,-1,1
416,1.25,1,1
419,1,1,1
420,1.5,-1,1.5
421,0,-1,1
422,0,-1,1
424,1,-1,1
425,0,-1,1
426,1,-1,1
427,1,-2,1
428,1.25,-1,1
429,1,-1,1
